episode,score,max_tile,time
410,3092,8,17.806378841400146
411,4572,9,17.862151861190796
412,1744,7,17.894656896591187
413,3720,8,17.949309825897217
414,2788,8,17.992175102233887
415,3412,8,18.0454158782959
416,5144,9,18.109185934066772
417,3476,8,18.16091275215149
418,3480,8,18.214391946792603
419,4764,9,18.27421998977661
420,2764,8,18.31602692604065
421,2084,7,18.351727962493896
422,2072,7,18.388396978378296
423,3960,8,18.445670127868652
424,3532,8,18.4993999004364
425,2740,7,18.545296907424927
426,3784,8,18.601361751556396
427,2476,8,18.63934588432312
428,2540,8,18.678430795669556
429,3292,8,18.725660800933838
430,2924,8,18.769962787628174
431,1548,7,18.797607898712158
432,1824,7,18.830288887023926
433,2880,8,18.87480902671814
434,7524,9,18.970426082611084
435,3140,8,19.01715874671936
436,2532,8,19.056588888168335
437,2392,7,19.096621990203857
438,1148,7,19.11943793296814
439,2820,8,19.1615788936615
440,1664,7,19.19196105003357
441,5064,9,19.25982093811035
442,2408,8,19.29859709739685
443,1688,7,19.329975843429565
444,5424,9,19.403077840805054
445,6452,9,19.484456777572632
446,6168,9,19.56531596183777
447,5672,9,19.63835883140564
448,4848,9,19.698863983154297
449,6144,9,19.773081064224243
450,1980,7,19.808754920959473
451,2288,7,19.848037004470825
452,4228,8,19.909744024276733
453,1796,7,19.942725896835327
454,2636,8,20.03619384765625
455,3452,8,20.088769912719727
456,2500,7,20.13022780418396
457,1608,7,20.162912845611572
458,6304,9,20.245211839675903
459,1416,7,20.271867752075195
460,3780,8,20.327409744262695
461,2096,7,20.36661696434021
462,5172,9,20.440998077392578
463,2644,7,20.48588800430298
464,3644,8,20.53913688659668
465,2540,8,20.579089879989624
466,3504,8,20.631969928741455
467,5492,9,20.703046798706055
468,2616,7,20.74716591835022
469,1784,7,20.779736042022705
470,888,6,20.800538063049316
471,1588,7,20.829362869262695
472,5548,9,20.901436805725098
473,1600,7,20.93134570121765
474,3388,8,20.98293399810791
475,3888,8,21.04146981239319
476,1820,7,21.071683883666992
477,2988,8,21.115989923477173
478,2044,7,21.150067806243896
479,3360,8,21.20001792907715
480,4300,8,21.262497901916504
481,2144,7,21.301086902618408
482,2636,8,21.342484951019287
483,1488,7,21.370930910110474
484,3540,8,21.425277948379517
485,2920,8,21.47153091430664
486,1952,7,21.508925914764404
487,1536,7,21.538580894470215
488,2688,8,21.57858395576477
489,3408,8,21.630209922790527
490,2224,7,21.66845202445984
491,704,6,21.685356855392456
492,3360,8,21.737112045288086
493,1768,7,21.76956796646118
494,4092,8,21.829405784606934
495,1652,7,21.858958959579468
496,1496,7,21.886372089385986
497,3088,8,21.93232774734497
498,3708,8,21.987746953964233
499,3900,8,22.044456958770752
500,3220,8,22.09243893623352
